2025-12-03T19:18:46.432472 | CREATE_ACCOUNT | ACC-890AEEB3 | 32.0 | SUCCESS | Owner=mayank
2025-12-03T19:21:53.078167 | CREATE_ACCOUNT | ACC-9696EADF | 32.0 | SUCCESS | Owner=mayank
2025-12-03T19:22:39.059039 | DEPOSIT | ACC-9696EADF | 3244.0 | SUCCESS | New balance=3276.0
2025-12-03T19:22:54.687918 | WITHDRAW | ACC-9696EADF | 32498.0 | FAILED | Insufficient funds.
2025-12-03T19:23:04.132976 | WITHDRAW | ACC-9696EADF | 3.0 | SUCCESS | New balance=3273.0
2025-12-04T07:32:20.618285 | CREATE_ACCOUNT | ACC-F065C541 | 345.0 | SUCCESS | Owner=mayank
2025-12-04T07:32:40.587939 | DEPOSIT | ACC-F065C541 | 456.0 | SUCCESS | New balance=801.0
2025-12-04T07:32:47.830393 | WITHDRAW | ACC-F065C541 | 343433.0 | FAILED | Insufficient funds.
2025-12-04T07:38:23.453113 | CREATE_ACCOUNT | ACC-15B1234E | 32.0 | SUCCESS | Owner=MAYGAL
2025-12-04T07:38:40.403658 | DEPOSIT | ACC-15B1234E | 3244.0 | SUCCESS | New balance=3276.0
2025-12-04T07:39:20.513914 | CLOSE_ACCOUNT | ACC-15B1234E | 0.0 | SUCCESS | Account closed
2025-12-04T07:39:30.579457 | DEPOSIT | ACC-15B1234E | 342.0 | SUCCESS | New balance=3618.0
2025-12-04T07:39:54.176548 | CLOSE_ACCOUNT | ACC-15B1234E | 0.0 | FAILED | Already closed
2025-12-04T07:40:02.820422 | DEPOSIT | ACC-15B1234E | 423.0 | SUCCESS | New balance=4041.0
2025-12-04T07:42:47.850169 | CLOSE_ACCOUNT | ACC-15B1234E | 0.0 | FAILED | Already closed
2025-12-04T07:42:54.226358 | DEPOSIT | ACC-15B1234E | 34.0 | FAILED | Account not active
2025-12-04T07:43:00.616173 | WITHDRAW | ACC-15B1234E | 434.0 | FAILED | Account not active
2025-12-04T15:39:11.618652 | CREATE_ACCOUNT | ACC-F5F0901D | 231.0 | SUCCESS | Owner=maygal
2025-12-04T16:04:35.197261 | CREATE_ACCOUNT | ACC-CC44FDC1 | 324.0 | SUCCESS | Owner=gd
2025-12-04T16:06:07.361080 | GET_ACCOUNT | sd | 0.0 | FAILED | Account not found
2025-12-04T16:14:41.849120 | GET_ACCOUNT | erwer | 0.0 | FAILED | Account not found
